Date,Open,Close
8/9/2016 16:00:00,45.36,45.82
8/10/2016 16:00:00,45.65,45.13
8/11/2016 16:00:00,45.23,44.98
8/12/2016 16:00:00,45.08,45.12
8/15/2016 16:00:00,45.2,45.12
8/16/2016 16:00:00,45.1,44.72
8/17/2016 16:00:00,44.87,44.65
8/18/2016 16:00:00,44.76,44.7
8/19/2016 16:00:00,44.71,45
8/22/2016 16:00:00,44.83,44.59
8/23/2016 16:00:00,44.86,44.97
8/24/2016 16:00:00,45.41,44.52
8/25/2016 16:00:00,44.62,44.19
8/26/2016 16:00:00,44.43,44
8/29/2016 16:00:00,44.03,43.04
8/30/2016 16:00:00,43.22,42.27
8/31/2016 16:00:00,42.09,42.4
9/1/2016 16:00:00,41.8,40.15
9/2/2016 16:00:00,40.47,39.56
9/6/2016 16:00:00,39.8,40.57
9/7/2016 16:00:00,41.1,40.34
9/8/2016 16:00:00,39.91,39.47
9/9/2016 16:00:00,39.82,38.89
9/12/2016 16:00:00,39,39.66
9/13/2016 16:00:00,39.41,39.21
9/14/2016 16:00:00,39.15,39.28
9/15/2016 16:00:00,39.3,40.08
9/16/2016 16:00:00,40.08,41.08
9/19/2016 16:00:00,41.4,41.27
9/20/2016 16:00:00,41.37,40.93
9/21/2016 16:00:00,41.27,41.04
9/22/2016 16:00:00,41.28,41.29
9/23/2016 16:00:00,41.2,41.49
9/26/2016 16:00:00,41.3,41.8
9/27/2016 16:00:00,41.93,41.16
9/28/2016 16:00:00,41.5,41.25
9/29/2016 16:00:00,41.12,40.14
9/30/2016 16:00:00,40.44,40.81
10/3/2016 16:00:00,42.46,42.74
10/4/2016 16:00:00,42.62,42.28
10/5/2016 16:00:00,42.45,41.69
10/6/2016 16:00:00,40.49,40.2
10/7/2016 16:00:00,40.2,39.32
10/10/2016 16:00:00,40.27,40.19
10/11/2016 16:00:00,40.37,40.02
10/12/2016 16:00:00,40.19,40.3
10/13/2016 16:00:00,40.1,40.05
10/14/2016 16:00:00,40.13,39.3
10/17/2016 16:00:00,39.41,38.79
10/18/2016 16:00:00,39.2,39.82
10/19/2016 16:00:00,39.95,40.71
10/20/2016 16:00:00,40.42,39.82
10/21/2016 16:00:00,39.72,40.02
10/24/2016 16:00:00,40.2,40.55
10/25/2016 16:00:00,40.58,40.47
